path	type	required	constraints	description
ITR.ITR1.CreationInfo.SWVersionNo	string	True	type=string, minLength=1, maxLength=10, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), REQUIRED	
ITR.ITR1.CreationInfo.SWCreatedBy	string	True	type=string, pattern=[S][W][0-9]{8}, REQUIRED	
ITR.ITR1.CreationInfo.JSONCreatedBy	string	True	type=string, pattern=[S][W][0-9]{8}, REQUIRED	
ITR.ITR1.CreationInfo.JSONCreationDate	string	True	type=string, pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])), REQUIRED	JSONCreationDate in YYYY-MM-DD format
ITR.ITR1.CreationInfo.IntermediaryCity	string	True	type=string, minLength=1, maxLength=25, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), REQUIRED	
ITR.ITR1.CreationInfo.Digest	string	True	type=string, pattern=-|.{44}, REQUIRED	
ITR.ITR1.Form_ITR1.FormName	string	True	type=string, pattern=ITR-1, REQUIRED	
ITR.ITR1.Form_ITR1.Description	string	True	type=string, minLength=1, maxLength=75, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), REQUIRED	
ITR.ITR1.Form_ITR1.AssessmentYear	string	True	type=string, minLength=4, maxLength=4, pattern=2025, REQUIRED	
ITR.ITR1.Form_ITR1.SchemaVer	string	True	type=string, minLength=1, maxLength=10, pattern=Ver1.0, REQUIRED	
ITR.ITR1.Form_ITR1.FormVer	string	True	type=string, minLength=1, maxLength=10, pattern=Ver1.0, REQUIRED	
ITR.ITR1.PartA_139_8A.PAN	string	True	type=string, pattern=[A-Z]{5}[0-9]{4}[A-Z], REQUIRED	
ITR.ITR1.PartA_139_8A.Name	string	True	type=string, maxLength=125, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), REQUIRED	
ITR.ITR1.PartA_139_8A.AadhaarCardNo	string	False	type=string, pattern=[0-9]{12}	
ITR.ITR1.PartA_139_8A.AssessmentYear	string	True	type=string, pattern=2025, REQUIRED	
ITR.ITR1.PartA_139_8A.PreviouslyFiledForThisAY	string	True	type=string, pattern=Y|N, REQUIRED	
ITR.ITR1.PartA_139_8A.PreviouslyFiledForThisAY_139_8A	string	False	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), enum=['1', '2']	1 - 139(1); 2 - Other
ITR.ITR1.PartA_139_8A.Applicable_139_8A.ITRForm	string	False	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), enum=['ITR1', 'ITR2', 'ITR3', 'ITR4', 'ITR5', 'ITR6', 'ITR7']	ITR1 - ITR1; ITR2 - ITR2; ITR3 - ITR3; ITR4 - ITR4; ITR5 - ITR5; ITR6 - ITR6; ITR7 - ITR7;
ITR.ITR1.PartA_139_8A.Applicable_139_8A.AcknowledgementNo	string	True	type=string, maxLength=15, pattern=[0-9]{15}, REQUIRED	Enter Acknowledgment No. of Original return
ITR.ITR1.PartA_139_8A.Applicable_139_8A.OrigRetFiledDate	string	True	type=string, pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])), REQUIRED	Enter Date of filing of Original return in YYYY-MM-DD format
ITR.ITR1.PartA_139_8A.LaidOutIn_139_8A	string	True	type=string, pattern=Y|N, REQUIRED	
ITR.ITR1.PartA_139_8A.ITRFormUpdatingInc	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), enum=['ITR1'], REQUIRED	ITR1 - ITR1
